57 57 57 222784 148380 6 4132 
58 58 58 228405 151289 6 4132 
59 59 59 231866 154212 6 4132 
60 60 60 222432 151767 6 4132 
61 61 61 243135 164096 6 4132 
62 62 62 244983 166689 6 4132 
63 63 63 251131 169282 6 4132 
64 64 64 259649 171526 6 4132 
80 80 80 528711 356334 6 4132 
96 96 96 748904 507290 6 4132 
112 112 112 1253973 852044 6 4132 
128 128 128 1957051 1322592 6 4132 
192 192 192 6474002 4470703 6 4132 
256 256 256 15161686 10510497 6 4132 
1 1 1 8689 2184 7 4132 
2 2 2 9105 2442 7 4132 
3 3 3 9711 2732 7 4132 
4 4 4 8277 2221 7 4132 
5 5 5 9865 2900 7 4132 
6 6 6 10386 3043 7 4132 
7 7 7 10651 3186 7 4132 
8 8 8 9687 3066 7 4132 
9 9 9 11624 4000 7 4132 
10 10 10 11910 4194 7 4132 
11 11 11 12131 4388 7 4132 
12 12 12 11593 4319 7 4132 
13 13 13 13649 5508 7 4132 
14 14 14 14132 5753 7 4132 
15 15 15 14395 5998 7 4132 
16 16 16 14701 5980 7 4132 
17 17 17 16789 7496 7 4132 
18 18 18 17614 7920 7 4132 
19 19 19 17482 8088 7 4132 
20 20 20 17066 8049 7 4132 
21 21 21 20216 9820 7 4132 
22 22 22 20687 10167 7 4132 
23 23 23 21225 10514 7 4132 
24 24 24 21151 10526 7 4132 
25 25 25 24482 12552 7 4132 
26 26 26 25246 12950 7 4132 
27 27 27 25673 13348 7 4132 
28 28 28 25247 13411 7 4132 
29 29 29 56919 33218 7 4132 
30 30 30 59221 34730 7 4132 
31 31 31 61830 36274 7 4132 
32 32 32 51532 31711 7 4132 
33 33 33 64450 39418 7 4132 
34 34 34 65820 40741 7 4132 
35 35 35 68365 42078 7 4132 
36 36 36 62311 40164 7 4132 
37 37 37 70546 45411 7 4132 
38 38 38 72078 46535 7 4132 
39 39 39 73415 47659 7 4132 
40 40 40 74166 48470 7 4132 
41 41 41 82306 54227 7 4132 
42 42 42 84452 55453 7 4132 
43 43 43 86057 56679 7 4132 
44 44 44 86707 57592 7 4132 
45 45 45 96580 63859 7 4132 
46 46 46 99983 65187 7 4132 
47 47 47 100898 66515 7 4132 
48 48 48 105437 67530 7 4132 
49 49 49 117841 74343 7 4132 
50 50 50 116865 75773 7 4132 
51 51 51 121109 77203 7 4132 
52 52 52 122789 78284 7 4132 
53 53 53 135642 85607 7 4132 
54 54 54 137738 87139 7 4132 
55 55 55 139536 88671 7 4132 
56 56 56 140168 89854 7 4132 
57 57 57 223801 147554 7 4132 
58 58 58 228136 150565 7 4132 
59 59 59 234056 153594 7 4132 
60 60 60 221763 150425 7 4132 
61 61 61 254655 167932 7 4132 
62 62 62 257992 171022 7 4132 
63 63 63 263453 174126 7 4132 
64 64 64 261134 171526 7 4132 
80 80 80 415142 270144 7 4132 
96 96 96 754614 507290 7 4132 
112 112 112 1020002 685716 7 4132 
128 128 128 1668426 1106448 7 4132 
192 192 192 5799256 3986233 7 4132 
256 256 256 12890610 8791233 7 4132 
1 1 1 8701 2184 8 4132 
2 2 2 9165 2442 8 4132 
3 3 3 9895 2732 8 4132 
4 4 4 8397 2221 8 4132 
5 5 5 10197 2900 8 4132 
6 6 6 10164 3043 8 4132 
7 7 7 10837 3186 8 4132 
8 8 8 9679 3066 8 4132 
9 9 9 11720 4000 8 4132 
10 10 10 12122 4194 8 4132 
11 11 11 12066 4388 8 4132 
12 12 12 11700 4319 8 4132 
13 13 13 13874 5508 8 4132 
14 14 14 14188 5753 8 4132 
15 15 15 14621 5998 8 4132 
16 16 16 14371 5980 8 4132 
17 17 17 16993 7424 8 4132 
18 18 18 17439 7848 8 4132 
19 19 19 17392 8016 8 4132 
20 20 20 17191 8049 8 4132 
21 21 21 19922 9748 8 4132 
22 22 22 20700 10095 8 4132 
23 23 23 21225 10442 8 4132 
24 24 24 21038 10526 8 4132 
25 25 25 24427 12480 8 4132 
26 26 26 24803 12878 8 4132 
27 27 27 25264 13276 8 4132 
28 28 28 25316 13411 8 4132 
29 29 29 29166 15620 8 4132 
30 30 30 29988 16069 8 4132 
31 31 31 30800 16518 8 4132 
32 32 32 33452 16704 8 4132 
33 33 33 69031 40986 8 4132 
34 34 34 70759 42664 8 4132 
35 35 35 73848 44374 8 4132 
36 36 36 61103 39350 8 4132 
37 37 37 69439 44561 8 4132 
38 38 38 71006 45663 8 4132 
39 39 39 72657 46765 8 4132 
40 40 40 73065 47568 8 4132 
41 41 41 81329 53289 8 4132 
42 42 42 82406 54493 8 4132 
43 43 43 85056 55697 8 4132 
44 44 44 85092 56602 8 4132 
45 45 45 95806 62833 8 4132 
46 46 46 97363 64139 8 4132 
47 47 47 100066 65445 8 4132 
48 48 48 103309 66452 8 4132 
49 49 49 114365 73193 8 4132 
50 50 50 116299 74601 8 4132 
51 51 51 119824 76009 8 4132 
52 52 52 119843 77118 8 4132 
53 53 53 132497 84369 8 4132 
54 54 54 133718 85879 8 4132 
55 55 55 138334 87389 8 4132 
56 56 56 137280 88600 8 4132 
57 57 57 151815 96361 8 4132 
58 58 58 153572 97973 8 4132 
59 59 59 155472 99585 8 4132 
60 60 60 156762 100898 8 4132 
61 61 61 172788 109169 8 4132 
62 62 62 171563 110883 8 4132 
63 63 63 176106 112597 8 4132 
64 64 64 179175 114012 8 4132 
80 80 80 406867 266536 8 4132 
