MACHINE,MODE,BATCH_SIZE,OPERATION,RUNNING TIME,LOG TIME,NOTE
Chihang Laptop,CPU,31,relu2,29.962778091430664,2015-07-07 10:47:45.160273,
Chihang Laptop,CPU,31,relu1,105.29899597167969,2015-07-07 10:47:45.160273,
Chihang Laptop,CPU,31,conv3,21.778901418050129,2015-07-07 10:47:45.160273,
Chihang Laptop,CPU,31,conv2,78.033208847045898,2015-07-07 10:47:45.160273,
Chihang Laptop,CPU,31,conv1,138.56760660807291,2015-07-07 10:47:45.160273,
Chihang Laptop,CPU,31,ip1,0.52404403686523438,2015-07-07 10:47:45.160273,
Chihang Laptop,CPU,31,first step time,91971.16017341614,2015-07-07 10:47:45.160273,
Chihang Laptop,CPU,31,norm2,27.287960052490234,2015-07-07 10:47:45.160273,
Chihang Laptop,CPU,31,pool3,1.1812845865885417,2015-07-07 10:47:45.160273,
Chihang Laptop,CPU,31,pool2,28.789281845092773,2015-07-07 10:47:45.160273,
Chihang Laptop,CPU,31,pool1,114.66503143310547,2015-07-07 10:47:45.160273,
Chihang Laptop,CPU,31,data,138.49790891011557,2015-07-07 10:47:45.160273,
Chihang Laptop,CPU,31,norm1,103.84654998779297,2015-07-07 10:47:45.160273,
Chihang Laptop,GPU,41,mean step time,392.75336265563965,2015-07-07 10:50:13.649710,
Chihang Laptop,GPU,41,loss,0.52483876546223962,2015-07-07 10:50:13.649710,
Chihang Laptop,GPU,41,pool1_relu1_0_split,84.933678309122726,2015-07-07 10:50:13.649710,
Chihang Laptop,GPU,41,relu3,2.7657349904378257,2015-07-07 10:50:13.649710,
Chihang Laptop,GPU,41,relu2,32.924016316731773,2015-07-07 10:50:13.649710,
Chihang Laptop,GPU,41,relu1,95.814625422159835,2015-07-07 10:50:13.649710,
Chihang Laptop,GPU,41,conv3,30.690034230550129,2015-07-07 10:50:13.649710,
Chihang Laptop,GPU,41,conv2,76.671520868937179,2015-07-07 10:50:13.649710,
Chihang Laptop,GPU,41,conv1,122.81505266825359,2015-07-07 10:50:13.649710,
Chihang Laptop,GPU,41,ip1,0.88024139404296875,2015-07-07 10:50:13.649710,
Chihang Laptop,GPU,41,first step time,144469.34390068054,2015-07-07 10:50:13.649710,
Chihang Laptop,GPU,41,norm2,33.224344253540039,2015-07-07 10:50:13.649710,
Chihang Laptop,GPU,41,pool3,1.6831556955973308,2015-07-07 10:50:13.649710,
Chihang Laptop,GPU,41,pool2,32.263040542602539,2015-07-07 10:50:13.649710,
Chihang Laptop,GPU,41,pool1,96.18687629699707,2015-07-07 10:50:13.649710,
Chihang Laptop,GPU,41,data,236.89103126525879,2015-07-07 10:50:13.649710,
Chihang Laptop,GPU,41,norm1,91.204722722371415,2015-07-07 10:50:13.649710,
Chihang Laptop,CPU,41,mean step time,418.2763894399007,2015-07-07 10:52:31.225754,
Chihang Laptop,CPU,41,loss,0.30628840128580731,2015-07-07 10:52:31.225754,
Chihang Laptop,CPU,41,pool1_relu1_0_split,134.41729545593262,2015-07-07 10:52:31.225754,
Chihang Laptop,CPU,41,relu3,1.6947587331136067,2015-07-07 10:52:31.225754,
Chihang Laptop,CPU,41,relu2,37.645022074381508,2015-07-07 10:52:31.225754,
Chihang Laptop,CPU,41,relu1,135.01032193501791,2015-07-07 10:52:31.225754,
Chihang Laptop,CPU,41,conv3,28.750260670979817,2015-07-07 10:52:31.225754,
Chihang Laptop,CPU,41,conv2,101.66327158610027,2015-07-07 10:52:31.225754,
Chihang Laptop,CPU,41,conv1,182.13756879170737,2015-07-07 10:52:31.225754,
Chihang Laptop,CPU,41,ip1,0.57832400004069007,2015-07-07 10:52:31.225754,
Chihang Laptop,CPU,41,first step time,132812.09778785706,2015-07-07 10:52:31.225754,
Chihang Laptop,CPU,41,norm2,35.807212193806969,2015-07-07 10:52:31.225754,
Chihang Laptop,CPU,41,pool3,1.4736652374267578,2015-07-07 10:52:31.225754,
Chihang Laptop,CPU,41,pool2,37.178754806518555,2015-07-07 10:52:31.225754,
Chihang Laptop,CPU,41,pool1,150.33555030822754,2015-07-07 10:52:31.225754,
Chihang Laptop,CPU,41,data,182.19399452209473,2015-07-07 10:52:31.225754,
Chihang Laptop,CPU,41,norm1,134.33527946472168,2015-07-07 10:52:31.225754,
Chihang Laptop,GPU,40,mean step time,366.16365114847821,2015-07-07 11:58:12.333340,
Chihang Laptop,GPU,40,loss,0.51466623942057288,2015-07-07 11:58:12.333340,
Chihang Laptop,GPU,40,pool1_relu1_0_split,83.180586496988937,2015-07-07 11:58:12.333340,
Chihang Laptop,GPU,40,relu3,2.2358894348144531,2015-07-07 11:58:12.333340,
Chihang Laptop,GPU,40,relu2,30.562559763590496,2015-07-07 11:58:12.333340,
Chihang Laptop,GPU,40,relu1,85.450331370035812,2015-07-07 11:58:12.333340,
Chihang Laptop,GPU,40,conv3,25.166988372802734,2015-07-07 11:58:12.333340,
Chihang Laptop,GPU,40,conv2,70.236285527547196,2015-07-07 11:58:12.333340,
Chihang Laptop,GPU,40,conv1,112.48691876729329,2015-07-07 11:58:12.333340,
Chihang Laptop,GPU,40,ip1,0.88461240132649743,2015-07-07 11:58:12.333340,
Chihang Laptop,GPU,40,first step time,140104.30097579956,2015-07-07 11:58:12.333340,
Chihang Laptop,GPU,40,norm2,28.412342071533203,2015-07-07 11:58:12.333340,
Chihang Laptop,GPU,40,pool3,1.6454060872395833,2015-07-07 11:58:12.333340,
Chihang Laptop,GPU,40,pool2,29.907306035359699,2015-07-07 11:58:12.333340,
Chihang Laptop,GPU,40,pool1,88.436921437581375,2015-07-07 11:58:12.333340,
Chihang Laptop,GPU,40,data,219.7723388671875,2015-07-07 11:58:12.333340,
Chihang Laptop,GPU,40,norm1,83.088318506876632,2015-07-07 11:58:12.333340,
Chihang Laptop,CPU,40,mean step time,401.80301666259766,2015-07-07 12:01:02.176810,
Chihang Laptop,CPU,40,loss,0.30763943990071613,2015-07-07 12:01:02.176810,
Chihang Laptop,CPU,40,pool1_relu1_0_split,130.28264045715332,2015-07-07 12:01:02.176810,
Chihang Laptop,CPU,40,relu3,1.6722679138183594,2015-07-07 12:01:02.176810,
Chihang Laptop,CPU,40,relu2,36.732037862141929,2015-07-07 12:01:02.176810,
Chihang Laptop,CPU,40,relu1,131.166140238444,2015-07-07 12:01:02.176810,
Chihang Laptop,CPU,40,conv3,27.988274892171223,2015-07-07 12:01:02.176810,
Chihang Laptop,CPU,40,conv2,99.168062210083008,2015-07-07 12:01:02.176810,
Chihang Laptop,CPU,40,conv1,176.81964238484701,2015-07-07 12:01:02.176810,
Chihang Laptop,CPU,40,ip1,0.57768821716308594,2015-07-07 12:01:02.176810,
