MACHINE,MODE,BATCH_SIZE,OPERATION,RUNNING TIME,LOG TIME,NOTE
Jetson TK1,GPU,55,ip1,3.9974451065063477,2015-07-07 17:37:55.103375,
Jetson TK1,GPU,55,first step time,5086.309909820557,2015-07-07 17:37:55.103375,
Jetson TK1,GPU,55,pool2,4.3255090713500977,2015-07-07 17:37:55.103375,
Jetson TK1,GPU,55,pool1,15.15352725982666,2015-07-07 17:37:55.103375,
Jetson TK1,GPU,55,data,24.789571762084961,2015-07-07 17:37:55.103375,
Jetson TK1,CPU,55,mean step time,300.6889820098877,2015-07-07 17:38:15.462238,
Jetson TK1,CPU,55,loss,0.57339668273925781,2015-07-07 17:38:15.462238,
Jetson TK1,CPU,55,relu1,1.0263919830322266,2015-07-07 17:38:15.462238,
Jetson TK1,CPU,55,ip2,0.80108642578125,2015-07-07 17:38:15.462238,
Jetson TK1,CPU,55,conv2,78.632950782775879,2015-07-07 17:38:15.462238,
Jetson TK1,CPU,55,conv1,101.17697715759277,2015-07-07 17:38:15.462238,
Jetson TK1,CPU,55,ip1,13.681411743164062,2015-07-07 17:38:15.462238,
Jetson TK1,CPU,55,first step time,18539.761781692505,2015-07-07 17:38:15.462238,
Jetson TK1,CPU,55,pool2,16.406059265136719,2015-07-07 17:38:15.462238,
Jetson TK1,CPU,55,pool1,85.044980049133301,2015-07-07 17:38:15.462238,
Jetson TK1,CPU,55,data,111.70744895935059,2015-07-07 17:38:15.462238,
Jetson TK1,GPU,60,mean step time,53.569555282592773,2015-07-07 17:38:21.171876,
Jetson TK1,GPU,60,loss,3.3875703811645508,2015-07-07 17:38:21.171876,
Jetson TK1,GPU,60,relu1,3.7454366683959961,2015-07-07 17:38:21.171876,
Jetson TK1,GPU,60,ip2,3.5780668258666992,2015-07-07 17:38:21.171876,
Jetson TK1,GPU,60,conv2,18.07403564453125,2015-07-07 17:38:21.171876,
Jetson TK1,GPU,60,conv1,27.248978614807129,2015-07-07 17:38:21.171876,
Jetson TK1,GPU,60,ip1,5.0395727157592773,2015-07-07 17:38:21.171876,
Jetson TK1,GPU,60,first step time,5058.988094329834,2015-07-07 17:38:21.171876,
